"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","is_filled"
"CP2086",336.879686245036,336.879333496094,336.8798828125,26.28591222402,24.00615312,28.00450273602,196261.59473828,196258.167581467,121330.265625,121329,2,0
"CP2088",343.944648268423,343.944427490234,343.945281982422,26.28591222402,24.58220516802,28.00450273602,140806.233545441,140803.381630801,113333.40625,113332,2,0
"CP2089",344.901216782991,344.900909423828,344.901641845703,26.28591222402,24.58220516802,28.00450273602,91198.1383972664,91195.2864826264,63123.02734375,63122,2,0
"CP2090",344.941490619729,344.941253662109,344.941619873047,26.28591222402,24.58220516802,28.00450273602,72934.2244365952,72931.3725219552,49546.51171875,49546,2,0
"CP2091",348.915876261287,348.913360595703,348.915924072266,25.72179448002,23.41173568002,28.00450273602,2074196.91283762,2074192.89416644,1535218.75,1535218,2,0
"CP2092",348.928246463943,348.928100585938,348.928466796875,26.28591222402,24.00615312,28.00450273602,87697.9742226707,87694.547065857,45569.26953125,45568,2,0
"CP2093",350.912330622906,350.911926269531,350.912963867188,26.28591222402,22.84974622398,28.00450273602,475802.585645774,475798.003639985,304947.09375,304946,2,0
"CP2095",358.944618728583,358.944427490234,358.944793701172,26.28591222402,24.00615312,28.00450273602,298976.115614218,298972.688457404,241506.265625,241505,2,0
"CP2096",360.933277448039,360.933135986328,360.933349609375,25.72179448002,24.00615312,28.00450273602,3757510.38794438,3757506.96078757,2660136.25,2660135,2,0
"CP2097",361.933978052096,361.93359375,361.934448242188,25.72179448002,24.00615312,28.00450273602,921153.748640848,921150.321484035,674740.625,674740,2,0
"CP2100",376.91082905758,376.908020019531,376.911193847656,25.72179448002,22.84974622398,28.00450273602,2353123.50931116,2353118.92730537,1694423.375,1694422,2,0
"CP2101",377.911857665222,377.911346435547,377.912200927734,25.72179448002,24.00615312,28.00450273602,346479.478808863,346476.051652049,265873.375,265872,2,0
"CP2102",378.883785506636,378.883544921875,378.884002685547,25.72179448002,24.00615312,28.00450273602,265691.91447865,265688.487321836,197586.71875,197586,2,0
"CP2103",378.908259662505,378.907653808594,378.908782958984,25.72179448002,22.84974622398,28.00450273602,331769.118616485,331764.536610697,208293.421875,208292,2,0
"CP2104",380.865835548061,380.865264892578,380.866455078125,25.72179448002,24.00615312,28.00450273602,262354.622915322,262351.195758508,207957.84375,207957,2,0
"CP2106",380.940096150142,380.939117431641,380.940826416016,26.28591222402,25.15160094402,28.00450273602,123017.241170175,123014.958848742,115520.09375,115519,2,0
"CP2107",382.878447532573,382.878112792969,382.878631591797,26.28591222402,24.58220516802,28.00450273602,85643.0055514333,85640.1536367933,66322.5546875,66322,2,0
