"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","pooled","Unknown","mtab_webber_cuba_lumos_062018_uplc_12","mtab_webber_cuba_lumos_062018_uplc_13","mtab_webber_cuba_lumos_062018_uplc_14","mtab_webber_cuba_lumos_062018_uplc_15","mtab_webber_cuba_lumos_062018_uplc_19","mtab_webber_cuba_lumos_062018_uplc_26","mtab_webber_cuba_lumos_062018_uplc_31","mtab_webber_cuba_lumos_062018_uplc_37","isotopes","adduct","pcgroup"
"583",243.178066944613,243.177809352706,243.178147136217,389.118403578123,388.434844970703,390.3349609375,8,3,5,427759.487090521,684112.976665154,292516.201474023,235413.056603533,345479.623768219,350008.258515488,378193.919853992,273755.763288446,"[39][M+1]-","","24"
"584",243.133590125956,243.133204985541,243.1337076172,321.196014404297,320.718353271484,321.574066162109,5,3,2,210472.421817134,149125.966379275,170012.710041463,162946.26085967,172685.763281562,164085.607607622,21900.1155218979,193987.623097201,"","","154"
"585",243.068165165519,243.068165165519,243.068165165519,369.074890136719,369.074890136719,369.074890136719,1,0,1,66450.4177576814,83656.098853079,76020.1804017407,16087.0446368655,57505.7582723839,16095.3027828534,37610.7632807493,14027.6209054164,"","","243"
"586",243.085839603611,243.085839603611,243.085839603611,215.990188598633,215.990188598633,215.990188598633,1,0,1,970832.646822929,1461152.87041548,74683.3014161587,504339.85690856,812414.848458458,788610.568902254,517800.219343781,354847.668400049,"","","682"
"587",243.09865232894,243.09865232894,243.09865232894,63.3413505554199,63.3413505554199,63.3413505554199,1,1,0,17552.0753592208,24205.1554694518,46230.1873222142,25680.0136226133,25886.0051010132,34071.8242574723,28142.1608556546,17305.2000961483,"","","80"
"588",243.158768402693,243.158546175962,243.158877907832,431.73318083202,431.126678466797,434.08642578125,7,3,4,400184.213365379,13994.9566786527,347276.017154256,230692.98614877,377356.986370269,363327.074148791,310718.85016326,339048.467993882,"","","718"
"589",243.755245613117,243.75512494341,243.755325382585,33.7859439849854,33.5971298217773,33.9239807128906,8,3,5,5790376.59123963,6550404.77927743,4968605.32821276,6714919.9458956,4850502.70297828,4515048.83522066,4602000.38950022,2978432.6149812,"[38][M+2]-","","2"
"590",243.788958579434,243.788957650704,243.788959508165,474.552429199219,473.349884033203,475.754974365234,2,1,0,54578.9339300394,78565.1505784307,47276.1996014459,39950.9956441437,61925.1340403983,69047.1119072595,51073.2746080458,64063.1465115803,"","","678"
"591",243.788857848339,243.788857848339,243.788857848339,466.288024902344,466.288024902344,466.288024902344,1,1,0,30706.6587634866,210819.690017595,48581.8337812836,61440.024530021,63110.9985955426,146602.950335053,129450.230015576,80212.4567325322,"","","303"
"592",243.788933811487,243.788933811487,243.788933811487,457.947357177734,457.947357177734,457.947357177734,1,1,0,84266.7420385778,31699.8665345013,23897.8906375766,37665.0552930683,13788.7173887193,73859.9818667116,68709.4931666901,59450.3120940328,"","","316"
"593",243.910489641626,243.91042305044,243.910519828996,425.23569144,420.02916542298,429.93108225498,3,0,1,38745.3818863468,172882.80730543,39471.4379047504,63055.9889229776,48868.8180803515,196512.939343452,14117.6069024361,6463.70940198506,"","","224"
"594",243.94696846875,243.946894126647,243.947013756688,27.431910288,27.389627456665,27.4587669372559,3,2,1,141368.875707635,112908.759160199,103138.162910173,143773.502375704,122776.960273027,119826.075403617,138646.00390299,87668.4236466086,"[41][M+1]-","","8"
"595",244.016305387569,244.016305387569,244.016305387569,257.877014160156,257.877014160156,257.877014160156,1,0,1,49408.7982969557,117288.376542651,59817.6390463362,56026.2277787502,63860.2653908829,61788.4845709677,14540.5399647343,59547.4814617063,"[40][M+1]-","","59"
"596",244.755630214004,244.755600221462,244.75568109098,33.7907009124756,33.73214664,33.9239807128906,4,0,4,45258.7257682383,129603.138735915,75412.676107347,118619.542909512,45529.844245553,55316.973759229,73436.1517834179,47427.8548951425,"[38][M+3]-","","2"
"597",244.92632937996,244.925970545115,244.926409883502,324.156877304677,324.109954833984,324.734161376953,6,2,4,169499.82000917,129847.053597541,136782.60517497,136298.300920304,162055.523255074,114011.241780434,62539.8385445454,132716.944036222,"","","19"
"598",244.964123953093,244.903718031852,244.964201261217,26.3108339309692,26.1876220703125,26.3863639831543,8,3,5,2082640.65399757,2491063.06133495,1497586.04240921,2378784.9249296,1869748.76801778,1579168.39018574,2448778.23659809,39832.722541413,"[42][M]-","[M-H]- 245.973","1"
"599",245.043401944332,245.043287703497,245.04348134519,34.3614673614502,34.1702651977539,34.5018539428711,8,3,5,389325.88768964,481079.896229929,455937.473868513,395453.06313658,409301.945197275,454229.156074274,289851.540218329,894187.572271191,"","","2"
"600",245.091985779046,245.091663958708,245.092068696713,265.650065876783,265.531494140625,266.744079589844,8,3,5,12218639.3053083,12137610.7931939,11415259.9122821,11275239.8049857,9728080.34664066,10683611.2104486,10331284.9373356,10563660.4945356,"[43][M]-","","7"
"601",245.752420703543,245.752351467404,245.752511708791,33.7859439849854,33.5971298217773,33.9239807128906,8,3,5,1498174.82825175,1705645.6577095,1279129.89273362,1792204.89276558,1259839.11822378,1166753.879658,1148684.801637,740903.715868813,"[38][M+4]-","","2"
"602",245.909220625571,245.909054874561,245.909281863088,74.0522878673967,74.0483093261719,74.5703125,4,0,4,67416.0271165492,94071.0261126845,102832.90904555,102810.89869445,37744.5420184305,51950.9864040066,26492.5705580855,68555.3639990548,"","","35"
"603",245.965576195775,245.964790965119,245.966331505934,26.2961514339917,25.6976871490479,26.3441963195801,6,2,4,498223.015021168,591676.052156774,344035.04298305,495393.10833852,433733.831971219,309002.782233091,603091.068237015,7641.30748183415,"[42][M+1]-","","1"
"604",246.093736229043,246.089822581047,246.095737675373,265.609691120924,265.531494140625,266.744079589844,8,3,5,91056.7397899508,1296949.50723184,1193270.14093249,1189059.45534531,55598.6299863455,84019.8837482102,1118229.07336343,1180872.96464706,"[43][M+1]-","","7"
"605",246.098258533996,246.097997550005,246.098326151394,273.796173095703,273.189605712891,274.351470947266,5,1,4,150030.465666201,142880.055123593,140660.340692431,140970.216882229,148400.958847046,134835.414529037,137544.129208132,151094.475117266,"","","750"
"606",246.926276344734,246.854525185651,246.926341577794,32.0663757324219,26.3244209289551,37.2447700500488,5,2,2,54425.8182266378,13701.6802434961,7366.45576950861,55676.1565442326,67901.7421025987,53435.2604129278,10471.2700987118,196267.001104422,"","","2"
"607",246.965229528788,246.965175337859,246.96527739355,5.96607303619385,3.71034455299377,9.91265869140625,3,0,1,1225516.95167317,3038190.36679174,1480734.66710896,2347684.35483026,1994668.62194554,203674.103624597,1900807.98921878,1685743.26628012,"","","602"
"608",247.035928435987,247.035928435987,247.035928435987,195.971923828125,195.971923828125,195.971923828125,1,0,1,447473.51751945,367713.423607898,9055.83484803736,7221.39226104319,5158.40466624051,5300.01317914724,285785.786847687,69008.5687816373,"","","736"
"609",246.959349390139,246.95332608543,246.965338057726,25.0954217910767,24.4997367858887,25.8136425018311,16,3,5,991491.859670507,1159223.49355521,991582.126937212,1134066.11815691,1064843.39102138,1170082.31165838,1124987.9553833,49365136.3587009,"[42][M+2]-","","1"
"610",247.040527701953,247.040395716374,247.040639208027,34.3614673614502,34.1702651977539,34.5018539428711,8,3,5,119213.118660869,150295.245078998,151002.578169152,124434.120235774,122111.216425941,129397.591628,101619.743521234,271990.380863938,"","","2"
"611",247.087750219541,247.087443388369,247.087843700218,265.609691120924,265.531494140625,266.744079589844,8,3,5,517914.463540028,497857.754072882,455699.512152934,471461.609482331,381862.119856242,418350.736458277,418039.601766968,421715.907106511,"[43][M+2]-","","7"
"612",247.749559972626,247.74936769537,247.83915269394,33.8522720336914,33.5971298217773,37.2890014648438,9,2,4,140048.459359993,156926.39733032,106768.914621319,987622.364877271,108096.321452997,97080.566522815,111949.362521985,31480.7432891317,"[44][M]-","[M-2H+K]- 210.808 [M-H]- 248.758","2"
"613",247.906335062438,247.906335062438,247.906335062438,73.5054931640625,73.5054931640625,73.5054931640625,1,1,0,59312.1686561066,60709.7707270486,65066.2213303907,51438.0021981786,40036.2528895398,39782.6410917268,14993.4692550497,6996.8209307855,"","","35"
"614",247.968475748711,247.953265142122,247.968685175851,24.6370677947998,24.4997367858887,26.3398609161377,13,3,5,2358452.49368021,1967291.27982392,1812809.49866524,2091259.53190246,2135099.54297577,2023483.15230121,1616664.42177019,2168015.84280335,"[42][M+3]-","","1"
"615",248.00407112928,248.004058676762,248.004083581799,212.495895385742,212.446578979492,212.545211791992,2,1,1,99646.5038527234,157194.206670235,3223.04533552503,37200.6117167957,86949.5245659165,63292.2833950967,51650.2979821687,93006.1594021221,"","","740"
"616",247.97363105246,247.973556510885,247.973705594036,204.332695007324,203.715545654297,204.949844360352,2,0,2,52218.7640256286,12827.9147556648,109458.573544133,10815.7635350451,43400.7852774024,34254.5276919872,99865.3155425035,7846.18793940842,"","","29"
"617",247.940424450069,247.940424450069,247.940424450069,250.888107299805,250.888107299805,250.888107299805,1,0,1,12799.4381735086,7812.62488437295,103263.26025742,4234.64747866616,54536.8759825081,4962.91629239917,60377.3290309682,3943.55716207623,"","","16"
"618",248.740955835954,248.740932934369,248.912151876745,33.73214664,25.8136425018311,33.8522720336914,7,2,5,94568.453016153,89525.6732255226,88142.0162464935,68683.0452395537,58020.7328542345,20083.809171815,58677.97425576,95723.4065890223,"[44][M+1]-","","2"
